N°;Nom;Durée;Début;Fin;Prédécesseurs;Successeurs
592;Tâches Critiques;4 sm;Lun 13/05/13;Ven 07/06/13;580;593FD+30 jours
593;Tâches non ciritiques sur consignes OPC;2 sm;Lun 22/07/13;Ven 02/08/13;592FD+30 jours;
594;336 - PEINTURE;70 jours;Lun 10/06/13;Ven 13/09/13;;
595;Tâches Critiques;6 sm;Lun 10/06/13;Ven 19/07/13;586;"583;596"
596;Tâches non ciritiques sur consignes OPC;8 sm;Lun 22/07/13;Ven 13/09/13;595;"598;612FF;613FF"
597;337 - NETTOYAGE;35 jours;Lun 16/09/13;Ven 01/11/13;;
598;Nettoyage avant OPR;1 sm;Lun 16/09/13;Ven 20/09/13;596;"615FD+5 jours;599FD+25 jours"
599;Nettoyage avant RECEPTION;1 sm;Lun 28/10/13;Ven 01/11/13;598FD+25 jours;
600;340 - GENIE CLIMATIQUE;290 jours;Lun 06/08/12;Ven 13/09/13;;
601;Travaux sur consignes OPC;50 sm;Lun 06/08/12;Ven 19/07/13;546DD;602
602;Essais / Mise en service;8 sm;Lun 22/07/13;Ven 13/09/13;601;
603;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;290 jours;Lun 06/08/12;Ven 13/09/13;;
604;Travaux sur consignes OPC;50 sm;Lun 06/08/12;Ven 19/07/13;546DD;605
605;Essais / Mise en service;8 sm;Lun 22/07/13;Ven 13/09/13;604;
606;342 - ELECTRICITE;290 jours;Lun 06/08/12;Ven 13/09/13;;
607;Travaux sur consignes OPC;50 sm;Lun 06/08/12;Ven 19/07/13;546DD;608
608;Essais / Mise en service;8 sm;Lun 22/07/13;Ven 13/09/13;607;
609;350 - APPAREILS ELEVATEURS;50 jours;Lun 18/03/13;Ven 24/05/13;;
610;Travaux sur consignes OPC;4 sm;Lun 18/03/13;Ven 12/04/13;559FD+20 jours;611FD+20 jours
611;Essais / Mise en service;2 sm;Lun 13/05/13;Ven 24/05/13;610FD+20 jours;
612;351 - SIGNALETIQUE;3 sm;Lun 26/08/13;Ven 13/09/13;596FF;
613;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 26/08/13;Ven 13/09/13;596FF;
614;;;;;;
615;O.P.R.;0 jour;Ven 27/09/13;Ven 27/09/13;598FD+5 jours;616
616;PARACHEVEMENT;4 sm;Lun 30/09/13;Ven 25/10/13;615;617
617;RECEPTION;0 jour;Ven 25/10/13;Ven 25/10/13;616;618
618;LEVEE DES RESERVES;4 sm;Lun 28/10/13;Ven 22/11/13;617;619
619;LIVRAISON;0 jour;Ven 22/11/13;Ven 22/11/13;618;698FF
620;CONSTRUCTION BÂTIMENT R2 (GENIE CIVIL) y/c Réception;250 jours;Lun 03/09/12;Ven 16/08/13;;
621;302 - TERRASSEMENTS / V.R.D.;80 jours;Lun 21/01/13;Ven 10/05/13;;
622;Tâches Critiques;6 sm;Lun 21/01/13;Ven 01/03/13;644;623FD+30 jours
623;Tâches non ciritiques sur consignes OPC;4 sm;Lun 15/04/13;Ven 10/05/13;622FD+30 jours;625
624;303 - ESPACES VERTS;20 jours;Lun 13/05/13;Ven 07/06/13;;
625;Tâches non ciritiques sur consignes OPC;4 sm;Lun 13/05/13;Ven 07/06/13;623;
626;310 - GROS-ŒUVRE;110 jours;Lun 03/09/12;Ven 01/02/13;;
627;Tâches Critiques;10 sm;Lun 03/09/12;Ven 09/11/12;546DD+20 jours;"628;633;679DD;682DD;685DD"
628;Tâches non ciritiques sur consignes OPC;12 sm;Lun 12/11/12;Ven 01/02/13;627;
629;311 - DALLAGE INDUSTRIEL;130 jours;Lun 21/01/13;Ven 19/07/13;;
630;Tâches Critiques;3 sm;Lun 21/01/13;Ven 08/02/13;"637;645";"631FD+20 sm;658;655;690FD+10 jours"
631;Tâches non ciritiques sur consignes OPC;3 sm;Lun 01/07/13;Ven 19/07/13;630FD+20 sm;
632;312 - CHARPENTE METALLIQUE;60 jours;Lun 12/11/12;Ven 01/02/13;;
633;Tâches Critiques;6 sm;Lun 12/11/12;Ven 21/12/12;627;"634;636;640;644"
634;Tâches non ciritiques sur consignes OPC;6 sm;Lun 24/12/12;Ven 01/02/13;633;
635;320 - COUVERTURE / ETANCHEITE;80 jours;Lun 24/12/12;Ven 12/04/13;;
636;Tâches Critiques;4 sm;Lun 24/12/12;Ven 18/01/13;633;637
637;HORS D'EAU;0 jour;Ven 18/01/13;Ven 18/01/13;636;"630;638"
638;Tâches non ciritiques sur consignes OPC;12 sm;Lun 21/01/13;Ven 12/04/13;637;
639;321 - MENUISERIE EXTERIEURE ALUMINIUM;90 jours;Lun 24/12/12;Ven 26/04/13;;
640;Tâches Critiques;6 sm;Lun 24/12/12;Ven 01/02/13;633;641
641;HORS D'AIR;0 jour;Ven 01/02/13;Ven 01/02/13;640;642
642;Tâches non ciritiques sur consignes OPC;12 sm;Lun 04/02/13;Ven 26/04/13;641;
643;322 - FACADES / BARDAGES METALLIQUES;80 jours;Lun 24/12/12;Ven 12/04/13;;
644;Tâches Critiques;4 sm;Lun 24/12/12;Ven 18/01/13;633;"622;648DD+10 jours;645"
645;HORS D'AIR;0 jour;Ven 18/01/13;Ven 18/01/13;644;"630;646;652"
646;Tâches non ciritiques sur consignes OPC;12 sm;Lun 21/01/13;Ven 12/04/13;645;
647;323 - FACADES BOIS;50 jours;Lun 07/01/13;Ven 15/03/13;;
648;Tâches Critiques;2 sm;Lun 07/01/13;Ven 18/01/13;644DD+10 jours;649
649;HORS D'AIR;0 jour;Ven 18/01/13;Ven 18/01/13;648;650FD+20 jours
650;Tâches non ciritiques sur consignes OPC;4 sm;Lun 18/02/13;Ven 15/03/13;649FD+20 jours;
651;324 - PORTES INDUSTRIELLES;50 jours;Lun 21/01/13;Ven 29/03/13;;
652;Tâches Critiques;3 sm;Lun 21/01/13;Ven 08/02/13;645;653FD+20 jours
653;Tâches non ciritiques sur consignes OPC;3 sm;Lun 11/03/13;Ven 29/03/13;652FD+20 jours;
654;330 - SERRURERIE / METALLERIE;70 jours;Lun 11/02/13;Ven 17/05/13;;
655;Tâches Critiques;4 sm;Lun 11/02/13;Ven 08/03/13;630;656
656;Tâches non ciritiques sur consignes OPC;10 sm;Lun 11/03/13;Ven 17/05/13;655;
657;331 - CLOISONS;30 jours;Lun 11/02/13;Ven 22/03/13;;
658;Tâches Critiques;4 sm;Lun 11/02/13;Ven 08/03/13;630;"659;664;670"
659;Tâches non ciritiques sur consignes OPC;2 sm;Lun 11/03/13;Ven 22/03/13;658;
660;332 - FAUX-PLAFONDS;30 jours;Lun 29/04/13;Ven 07/06/13;;
661;Tâches Critiques;3 sm;Lun 29/04/13;Ven 17/05/13;673;"662;667"
662;Tâches non ciritiques sur consignes OPC;3 sm;Lun 20/05/13;Ven 07/06/13;661;
663;333 - MENUISERIE INTERIEURE BOIS / AGENCEMENT;75 jours;Lun 11/03/13;Ven 21/06/13;;
664;Tâches Critiques;3 sm;Lun 11/03/13;Ven 29/03/13;658;"665FD+30 jours;673"
665;Tâches non ciritiques sur consignes OPC;6 sm;Lun 13/05/13;Ven 21/06/13;664FD+30 jours;
666;334 - REVÊTEMENT SOL SOUPLE;25 jours;Lun 20/05/13;Ven 21/06/13;;
667;Tâches Critiques;3 sm;Lun 20/05/13;Ven 07/06/13;661;668
668;Tâches non ciritiques sur consignes OPC;2 sm;Lun 10/06/13;Ven 21/06/13;667;
669;335 - CARRELAGE / FAÏENCE;60 jours;Lun 11/03/13;Ven 31/05/13;;
670;Tâches Critiques;4 sm;Lun 11/03/13;Ven 05/04/13;658;671FD+30 jours
671;Tâches non ciritiques sur consignes OPC;2 sm;Lun 20/05/13;Ven 31/05/13;670FD+30 jours;
672;336 - PEINTURE;50 jours;Lun 01/04/13;Ven 07/06/13;;
673;Tâches Critiques;4 sm;Lun 01/04/13;Ven 26/04/13;664;"661;674"
674;Tâches non ciritiques sur consignes OPC;6 sm;Lun 29/04/13;Ven 07/06/13;673;"676;687FF;688FF"
675;337 - NETTOYAGE;35 jours;Lun 10/06/13;Ven 26/07/13;;
676;Nettoyage avant OPR;1 sm;Lun 10/06/13;Ven 14/06/13;674;"692FD+5 jours;677FD+25 jours"
677;Nettoyage avant RECEPTION;1 sm;Lun 22/07/13;Ven 26/07/13;676FD+25 jours;
678;340 - GENIE CLIMATIQUE;180 jours;Lun 03/09/12;Ven 10/05/13;;
679;Travaux sur consignes OPC;30 sm;Lun 03/09/12;Ven 29/03/13;627DD;680
680;Essais / Mise en service;6 sm;Lun 01/04/13;Ven 10/05/13;679;
681;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;180 jours;Lun 03/09/12;Ven 10/05/13;;
682;Travaux sur consignes OPC;30 sm;Lun 03/09/12;Ven 29/03/13;627DD;683
683;Essais / Mise en service;6 sm;Lun 01/04/13;Ven 10/05/13;682;
684;342 - ELECTRICITE;180 jours;Lun 03/09/12;Ven 10/05/13;;
685;Travaux sur consignes OPC;30 sm;Lun 03/09/12;Ven 29/03/13;627DD;686
686;Essais / Mise en service;6 sm;Lun 01/04/13;Ven 10/05/13;685;
687;351 - SIGNALETIQUE;3 sm;Lun 20/05/13;Ven 07/06/13;674FF;
688;352 - EXTINCTEURS / SIGNALETIQUE DE SECURITE;3 sm;Lun 20/05/13;Ven 07/06/13;674FF;
689;356 - PONTS ROULANTS;70 jours;Lun 25/02/13;Ven 31/05/13;;
690;Tâches Critiques;4 sm;Lun 25/02/13;Ven 22/03/13;630FD+10 jours;691FD+30 jours
691;Tâches non ciritiques sur consignes OPC;4 sm;Lun 06/05/13;Ven 31/05/13;690FD+30 jours;
692;O.P.R.;0 jour;Ven 21/06/13;Ven 21/06/13;676FD+5 jours;693
693;PARACHEVEMENT;4 sm;Lun 24/06/13;Ven 19/07/13;692;694
694;RECEPTION;0 jour;Ven 19/07/13;Ven 19/07/13;693;695
695;LEVEE DES RESERVES;4 sm;Lun 22/07/13;Ven 16/08/13;694;696
696;LIVRAISON;0 jour;Ven 16/08/13;Ven 16/08/13;695;
697;;;;;;
698;GALERIE DE LIAISON T.C.E. sur consignes OPC;30 sm;Lun 29/04/13;Ven 22/11/13;619FF;"699;705FD+4 sm"
699;O.P.R. / Levée des Réserves GALERIE;8 sm;Lun 25/11/13;Ven 17/01/14;698;"711;714;717"
700;;;;;;
701;PHASE 3;135 jours;Ven 20/12/13;Ven 27/06/14;;
702;;;;;;
703;PHASE 3A;70 jours;Ven 20/12/13;Ven 28/03/14;;
704;301 - DEMOLITION / DESAMIANTAGE;70 jours;Ven 20/12/13;Ven 28/03/14;;
705;Dépôt Plan de Retrait MCA;0 jour;Ven 20/12/13;Ven 20/12/13;698FD+4 sm;706
706;Instruction Plan de Retrait MCA;4 sm;Lun 23/12/13;Ven 17/01/14;705;707
707;Dépose MCA;6 sm;Lun 20/01/14;Ven 28/02/14;706;709
708;Déconstruction Bât Z (Arts Appliqués modulaires);3 sm;Lun 27/01/14;Ven 14/02/14;717;"709;722"
709;Démolition Solde Atelier Génie Civil;4 sm;Lun 03/03/14;Ven 28/03/14;"708;707;712";
710;340 - GENIE CLIMATIQUE;30 jours;Lun 20/01/14;Ven 28/02/14;;
711;Consignations Bât Z (Arts Appliqués modulaires);1 sm;Lun 20/01/14;Ven 24/01/14;699;712FD+20 jours
712;Consignation Solde Atelier Génie Civil;1 sm;Lun 24/02/14;Ven 28/02/14;711FD+20 jours;709
713;341 - INSTALLATIONS SANITAIRES / AIR COMPRIME;30 jours;Lun 20/01/14;Ven 28/02/14;;
714;Consignations Bât Z (Arts Appliqués modulaires);1 sm;Lun 20/01/14;Ven 24/01/14;699;715FD+20 jours
715;Consignation Solde Atelier Génie Civil;1 sm;Lun 24/02/14;Ven 28/02/14;714FD+20 jours;
716;342 - ELECTRICITE;30 jours;Lun 20/01/14;Ven 28/02/14;;
717;Consignations Bât Z (Arts Appliqués modulaires);1 sm;Lun 20/01/14;Ven 24/01/14;699;"708;718FD+20 jours"
718;Consignation Solde Atelier Génie Civil;1 sm;Lun 24/02/14;Ven 28/02/14;717FD+20 jours;
719;;;;;;
720;PHASE 3B;95 jours;Lun 17/02/14;Ven 27/06/14;;
721;302 - TERRASSEMENTS / V.R.D.;70 jours;Lun 17/02/14;Ven 23/05/14;;
722;Travaux Parvis Central;8 sm;Lun 17/02/14;Ven 11/04/14;708;"723FD-10 jours;726;729DD"
723;Parking Sud-Ouest (Tranche Conditionnelle);8 sm;Lun 31/03/14;Ven 23/05/14;722FD-10 jours;"731;727FF-5 jours;730DD"
724;;;;;;
725;303 - ESPACES VERTS;25 jours;Lun 14/04/14;Ven 16/05/14;;
726;Travaux Parvis Central;2 sm;Lun 14/04/14;Ven 25/04/14;722;
727;Parking Sud-Ouest (Tranche Conditionnelle);2 sm;Lun 05/05/14;Ven 16/05/14;723FF-5 jours;
728;342 - ELECTRICITE;70 jours;Lun 17/02/14;Ven 23/05/14;;
729;Travaux Parvis Central;8 sm;Lun 17/02/14;Ven 11/04/14;722DD;
730;Parking Sud-Ouest (Tranche Conditionnelle);8 sm;Lun 31/03/14;Ven 23/05/14;723DD;
731;O.P.R.;0 jour;Ven 23/05/14;Ven 23/05/14;723;732
732;PARACHEVEMENT;3 sm;Lun 26/05/14;Ven 13/06/14;731;733
733;RECEPTION;0 jour;Ven 13/06/14;Ven 13/06/14;732;734
734;LEVEE DES RESERVES;2 sm;Lun 16/06/14;Ven 27/06/14;733;735
735;LIVRAISON;0 jour;Ven 27/06/14;Ven 27/06/14;734;737
736;;;;;;
737;ACHEVEMENT TRANCHE 3;0 jour;Ven 27/06/14;Ven 27/06/14;735;
