"N° ";"Désignation";"Durée";"Début Souhaité";"Fin Souhaitée";"Prédécesseurs";"Successeurs";"Crit1";"Désign Crit1";"Crit2";"Désign Crit2";"Crit3";"Désign Crit3";"Crit4";"Désign Crit4";"Code tâche";"Coût +";"Coût -";
"188";"Montage cloisonnements isothermiques cuisine ";"20";"";"";"152FD0,";"190FD-5,191FD-5,204FD-5,";"P-02---";"Exécution des Travaux";"I-19---";"Lot n° 17 - Equipement de cuisine";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"34212";"";
"189";"Installation du matériel de cuisine";"15";"";"";"190FD0,191FD0,";"";"P-02---";"Exécution des Travaux";"I-19---";"Lot n° 17 - Equipement de cuisine";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"138080";"";
"190";"Distributions élec aux appareils cuisines";"10";"";"";"188FD-5,";"189FD0,";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"2740";"";
"191";"Distributions plomberie aux appareils cuisine";"10";"";"";"188FD-5,";"189FD0,";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"5031";"";
"192";"Traitement a la chaux sous voirie";"15";"";"";"9FD0,";"193FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"22090";"";
"193";"Couche de fondation des voiries";"5";"";"";"192FD0,";"10FD0,11FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"13580";"";
"194";"Exécution des réseaux humides Eu/Ev, Aep, EP";"15";"";"";"23FD0,27FD0,28FD0,";"195FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"71590";"";
"195";"Exécution des réseaux secs";"10";"";"";"194FD0,";"";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"4913";"";
"196";"Reprofilage couche de fondation, pose couche de base";"8";"";"";"153FD0,81FD0,120FD0,";"197FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"27160";"";
"197";"Aménagements espaces cours intérieures secteur hébergements";"5";"";"";"196FD0,";"198FD0,31FD0,49FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"26000";"";
"198";"Pose des bordures";"15";"";"";"197FD0,";"199FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"6159.45";"";
"199";"Aménagement des espaces verts, ";"15";"";"";"198FD0,";"200FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"28825";"";
"200";"Tapis d'enrobé voiries";"8";"";"";"199FD0,";"201FD0,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"76500";"";
"201";"Signalisation & barrières";"5";"";"";"200FD0,";"202FD0,203FD-4,";"P-02---";"Exécution des Travaux";"I-20---";"Lot n° 18 - Voirie & réseaux divers";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"4954";"";
"202";"RECEPTION des OUVRAGES";"5";"";"";"201FD0,175FD0,144FD0,203FD0,";"";"P-02---";"Exécution des Travaux";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"203";"VRD - Opérations préalables a la réception des travaux";"5";"";"";"201FD-4,";"202FD0,";"P-02---";"Exécution des Travaux";"I-01---";"Maîtrise d'ouvrage & maîtrise d'oeuvre";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"";"";
"204";"Z1 - Pose radiateurs secteur cuisine";"10";"";"";"188FD-5,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"4750";"";
"205";"Z3 - Distribution réseaux VMC";"15";"";"";"65FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"56082";"";
"206";"Z2 - Distributions réseaux VMC";"25";"";"";"69FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"54738";"";
"207";"Z1 - Distribution réseaux VMC";"10";"";"";"73FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"11640";"";
"208";"Z3 - Accessoires Sécurité Incendie";"3";"";"";"82FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-04---";"Zone 3 - HEBERGEMENT ALZHEIMER";"R---";"RESSOURCES";"";"1000";"";
"209";"Z2 - Accessoires Sécurité Incendie";"3";"";"";"118FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-05---";"Zone 2 - HEBERGEMENT Unités 1& 2";"R---";"RESSOURCES";"";"3600";"";
"210";"Z1 - Accessoires Sécurité Incendie";"3";"";"";"90FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"1700";"";
"211";"Z1 - Installation production eau chaude chaufferie";"15";"";"";"158FD0,";"";"P-02---";"Exécution des Travaux";"I-15---";"Lot n° 13 - Chauffage, ventilation plomberie";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"26003";"";
"212";"Réseau de terre + incorporés dans G/Oeuvre";"30";"";"";"21FD0,";"";"P-02---";"Exécution des Travaux";"I-16---";"Lot n° 14 - Electricité courants Forts";"T-03---";"Zone 1 - LOGISTIQUE & RESTAURATION";"R---";"RESSOURCES";"";"26470";"";
"213";"Réseau informatique";"20";"";"";"155FD0,";"214FD-5,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"14415";"";
"214";"Telephonie";"10";"";"";"213FD-5,";"217FD0,219FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"13905";"";
"215";"Système de sécurité incendie";"10";"";"";"155FD0,";"218FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"44250";"";
"216";"desenfumage et asservissement";"40";"";"";"64FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"57510";"";
"217";"Télévision";"15";"";"";"214FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"11020";"";
"218";"Vidéo surveillance, contrôle d'accès";"5";"";"";"215FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"5470";"";
"219";"Système d'appel malades";"15";"";"";"214FD0,";"220FD0,";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"33010";"";
"220";"Diffusio de l'heure, sonorisation";"5";"";"";"219FD0,";"";"P-02---";"Exécution des Travaux";"I-17---";"Lot n° 15 - Courants faibles";"T-01---";"ENSEMBLE du PROJET";"R---";"RESSOURCES";"";"7715";"";
